,title,price,squer,room,city,addres,floor,metr,new_rem,auction,quiet_area,furniture,center,parking
,"вул. Малоголосківська, 32А",125000,64,2,Львів,"Шевченківський
                    ·",10,1969,0,0,0,0,0,1
,"вул. Пасічна, 90А",117500,94,3,Львів,"Личаківський
                    ·",4,1250,0,0,1,0,0,0
,вул. Ожешко,470000,293,9,Львів,"Франківський
                    ·",1,1604,0,1,1,0,0,0
,"вул. Хмельницького Богдана, 220",90000,134,3,Львів,"Шевченківський
                    ·",5,672,0,0,0,0,0,1
,вул. Таманська,98000,111,3,Львів,"Галицький
                    ·",3,883,0,0,1,0,1,0
,"вул. Личаківська, 164",26000,34,2,Львів,"Личаківський
                    ·",2,765,0,0,0,0,0,0
,"вул. Єфремова Академіка, 72",113000,65,2,Львів,"Франківський
                    ·",3,1738,0,0,1,0,1,1
,"вул. Володимира Великого, 10",52529,43,1,Львів,"Франківський
                    ·",4,1217,0,0,0,0,0,0
,вул. Караджича,156000,106,3,Львів,"Залізничний
                    ·",9,1477,0,0,0,0,0,0
,"вул. Довга, 30А",59000,43,1,Львів,"Сихівський
                    ·",6,1372,0,0,1,0,0,0
,"вул. Янева, 3",168000,96,4,Львів,"Франківський
                    ·",3,1757,0,0,1,0,0,0
,вул. Вернадського Академіка,69000,74,4,Львів,"Сихів
                    ·",2,927,0,0,0,1,0,0
,"вул. Шафарика, 2",49000,48,2,Львів,"Личаківський
                    ·",3,1021,0,0,1,0,0,0
,"вул. Залізнична, 9А",109000,87,3,Львів,"Залізничний
                    ·",6,1253,0,0,0,0,0,0
,"вул. Тернопільська, 1",54000,56,3,Львів,"Новий Львів
                    ·",1,964,0,0,1,1,0,0
,вул. Біберовича Івана,29500,29,1,Львів,"Шевченківський
                    ·",8,1017,0,0,0,0,0,1
,пл. Ринок,260000,97,2,Львів,"Галицький
                    ·",2,2689,0,0,0,0,1,0
,"пл. Князя Святослава, 5",82000,43,1,Львів,Львів,6,1907,0,0,1,0,0,0
,пров. Заозерний,98425,71,2,Львів,"Шевченківський
                    ·",7,1388,0,0,0,0,0,0
,вул. Франка Івана,80000,48,1,Львів,"Галицький
                    ·",2,1667,0,0,0,1,1,0
,"вул. Квітова, 26",350000,166,6,Львів,"Шевченківський
                    ·",4,2108,0,0,0,0,1,0
,"просп. Червоної Калини, 58",115000,73,2,Львів,"Сихівський
                    ·",9,1571,0,0,1,0,0,0
,"вул. Лінкольна Авраама, 6",150000,87,3,Львів,"Шевченківський
                    ·",1,1734,0,0,0,0,0,0
,вул. Бандери Степана,550907,117,4,Львів,"Галицький
                    ·",3,4664,0,0,0,0,0,0
,"вул. Величковського, 44",62500,68,3,Львів,"Рясне 2
                    ·",8,919,0,0,0,0,0,0
,вул. Чупринки Генерала,169500,110,3,Львів,"Франківський
                    ·",2,1538,0,0,0,0,0,0
,"вул. Наукова, 12",70000,65,3,Львів,"Наукова
                    ·",7,1077,0,0,0,0,0,0
,вул. Кирила і Мефодія,110000,90,3,Львів,"Галицький
                    ·",3,1222,0,0,0,0,0,0
,вул. Князя Романа,308750,114,3,Львів,"Галицький
                    ·",3,2711,0,1,0,0,0,0
,"вул. Драгомирова, 17",480000,155,4,Київ,"Печерський
                    ·",13,3097,0,0,0,0,0,0
,"пров. Кучмин Яр(Краснодонський), 4",158650,95,2,Київ,"Солом'янський
                    ·",2,1670,0,0,1,0,0,1
,"вул. Драгомирова, 14",330000,85,3,Київ,"Печерський
                    ·",8,3882,0,0,0,0,1,0
,"вул. Драгомирова, 17Б",375000,116,3,Київ,"Печерський
                    ·",14,3233,0,0,0,0,0,0
,"пров. Лисогірський, 20",42341,36,1,Київ,"Голосіївський
                    ·",16,1185,0,0,0,0,0,0
,"вул. Драгомирова, 1-20А",295000,126,3,Київ,"Печерський
                    ·",9,2341,0,0,0,0,1,0
,"вул. Драгомирова, 5",270000,84,2,Київ,"Печерський
                    ·",4,3214,0,0,0,0,0,0
,"вул. Драгомирова, 15Б",480000,155,4,Київ,"Печерський
                    ·",8,3097,0,0,0,0,0,0
,"вул. Драгомирова, 19Б",177000,55,1,Київ,"Печерський
                    ·",10,3218,0,0,0,0,0,0
,"вул. Драгомирова, 17В",390000,100,3,Київ,"Печерський
                    ·",8,3900,0,0,0,0,0,0
,вул. Драгомирова,970000,250,5,Київ,"Печерськ
                    ·",18,3880,0,0,0,0,0,0
,"вул. Антоновича, 109",299000,100,3,Київ,"Печерськ
                    ·",17,2990,0,0,0,1,1,0
,"вул. Миколи Матеюка, 5А",58800,50,1,Київ,"Биківня
                    ·",8,1225,0,0,0,1,0,0
,"вул. Дмитра Луценка, 6",105000,70,2,Київ,"Голосіївський
                    ·",3,1500,1,0,0,0,0,0
,"вул. Деревлянська(Якіра), 8",200000,156,4,Київ,"Шевченківський
                    ·",4,1282,0,0,0,0,0,0
,"вул. Михайла Бойчука, 30А",43700,32,1,Київ,"Печерський
                    ·",4,1366,1,0,0,0,0,0
,просп. Берестейський(Перемоги),108000,52,1,Київ,"Шевченківський
                    ·",15,2077,0,0,0,0,0,0
,вул. Василя Тютюнника,300000,113,3,Київ,"Печерський
                    ·",5,3000,0,0,0,0,0,0
,вул. Олександра Олеся,94900,43,1,Київ,"Подільський
                    ·",19,2207,0,0,1,0,0,0
,"вул. Маршала Якубовського, 11",70000,47,2,Київ,"Голосіївський
                    ·",15,1480,0,0,0,0,0,0
,"вул. Авіаконструктора Антонова, 2Б",395000,111,3,Київ,"Солом'янський
                    ·",3,3559,0,0,0,0,0,0
,"просп. Оболонський, 36Д",190000,134,4,Київ,"Оболонський
                    ·",22,1420,0,0,0,0,0,0
,"вул. Драгомирова, 9",850000,150,2,Київ,"Печерський
                    ·",30,5667,0,0,0,0,0,0
,"вул. Лейпцизька, 13А",400000,140,4,Київ,"Печерський
                    ·",2,2857,0,0,1,0,1,0
,"вул. Самійла Кішки(Маршала Конєва), 12А",175000,70,2,Київ,"Голосіїв
                    ·",10,2500,0,0,0,0,0,0
,"просп. Леся Курбаса, 7Б",125000,85,2,Київ,"Святошинський
                    ·",17,1471,0,0,0,0,0,0
,"бул. Кольцова, 14Ж",115000,82,1,Київ,"Святошинський
                    ·",4,1406,0,0,0,0,0,0
,"вул. Майкопська, 1А",115000,97,4,Київ,"Деміївка
                    ·",4,1186,0,0,0,0,0,0
,"вул. Депутатська, 23А",105000,57,2,Київ,"Святошин
                    ·",8,1858,0,0,1,0,0,0
,"вул. Максимовича, 26Г",133000,62,2,Київ,"Голосіївський
                    ·",13,2156,0,0,1,0,0,1
,"вул. Максимовича, 24Б",96000,39,1,Київ,Київ,6,2481,0,1,1,0,0,1
,"вул. Ушинського, 26",44000,33,1,Київ,"Солом'янський
                    ·",5,1333,0,0,1,1,0,0
,"вул. Михайла Донця, 2Б",137500,67,2,Київ,Київ,6,2052,0,1,1,0,0,0
,вул. Олександра Бойченка,106000,86,4,Київ,"Дніпровський
                    ·",5,1240,0,0,1,1,0,0
,"вул. Ігоря Турчина, 13",53000,45,2,Київ,"Нивки
                    ·",2,1191,0,0,0,0,0,0
,"вул. Михайла Донця, 14А",52000,44,2,Київ,"Солом'янський
                    ·",3,1195,0,0,1,0,0,0
,"вул. Каштанова, 5",63000,54,2,Київ,"Троєщина
                    ·",6,1167,0,1,0,0,0,0
,"вул. Буслівська, 12",335000,119,3,Київ,"Звіринець
                    ·",2,2827,0,0,0,0,1,0
,"вул. Тираспільська, 60",140000,81,3,Київ,"Подільський
                    ·",10,1722,0,0,1,0,0,0
,"вул. Олександра Довженка, 14/1",115000,71,2,Київ,"Шевченківський
                    ·",5,1615,0,0,0,0,0,0
,"вул. Лятошинського, 14Б",78000,62,3,Київ,"Голосіївський
                    ·",3,1250,0,0,0,1,0,0
,"вул. Максимовича, 28Б",195000,77,2,Київ,"Голосіївський
                    ·",6,2546,0,0,0,0,0,0
,"вул. Краківська, 13Б",99900,73,2,Київ,"Дніпровський
                    ·",19,1368,0,0,0,0,0,0
,вул. Степана Рудницького(Академіка Вільямса),360000,181,2,Київ,"Голосіївський
                    ·",9,1285,0,0,0,0,0,0
,"вул. Драгомирова, 19А",165000,49,1,Київ,Київ,9,3347,0,0,0,0,1,0
,"вул. 32-а Садовая, 1",54000,39,2,Київ,"Святошинський
                    ·",3,1385,0,1,0,0,0,1
,"вул. Предславинська, 44",370000,80,2,Київ,"Печерський
                    ·",8,4625,0,0,0,0,0,0
,"вул. Олександра Кониського(Тургенєвська), 46/11",1200000,178,3,Київ,"Шевченківський
                    ·",2,6742,0,0,0,1,0,0
,"вул. Предславинська, 42",175000,42,1,Київ,"Печерський
                    ·",6,4167,0,0,1,0,1,0
,просп. Червоної Калини(Маяковського Володимира),98800,88,3,Київ,"Деснянський
                    ·",16,1123,0,0,1,1,0,0
,"просп. Володимира Івасюка, 10А",485000,160,4,Київ,"Оболонський
                    ·",8,3031,0,1,0,0,0,0
,"вул. Драгомирова, 2А",109000,50,2,Київ,"Печерський
                    ·",20,2180,0,0,0,0,0,0
,вул. Стадіонна,90000,90,2,Київ,"Солом'янський
                    ·",14,1000,0,0,0,0,0,0
,вул. Редьчинська,95000,66,2,Київ,"Оболонський
                    ·",3,1377,0,0,0,0,0,0
,Саперне Поле вулиця,360000,107,3,Київ,"Печерський
                    ·",4,3364,0,0,0,0,1,0
,"Столичне шосе, 2А",47730,43,1,Київ,"Голосіївський
                    ·",4,1110,0,0,0,0,0,0
,"вул. Полтавська, 3",60000,42,1,Київ,"Шевченківський
                    ·",4,1429,0,0,0,0,1,0
,вул. Предславинська,395000,88,3,Київ,"Печерський
                    ·",9,4489,0,0,0,0,1,0
,"вул. Редьчинська, 7",110000,78,3,Київ,"Оболонський
                    ·",4,1410,0,0,0,0,0,0
,вул. Дубищанська,128000,101,3,Київ,"Оболонський
                    ·",3,1267,0,0,1,0,0,0
,"пров. Герцена, 17-25",225000,127,4,Київ,"Шевченківський
                    ·",8,1772,0,0,1,0,0,0
,"вул. Дубищанська, 2",106000,76,2,Київ,"Оболонський
                    ·",1,1413,0,0,0,0,0,0
,"вул. Зарічна, 2 корпус 2",175000,75,2,Київ,"Дарницький
                    ·",20,2330,0,0,0,0,0,0
,"вул. Іоанна Павла II(Патріса Лумумби), 6/1",350000,108,3,Київ,"Печерський
                    ·",9,3241,0,0,0,0,0,0
,"вул. Загорівська(Багговутівська), 17-21",58000,47,1,Київ,"Шевченківський
                    ·",5,1234,0,0,0,0,0,0
,"вул. Іоанна Павла II(Патріса Лумумби), 12",1755000,195,3,Київ,"Печерський
                    ·",30,9000,0,0,0,0,1,0
,вул. Тираспільська,135000,66,3,Київ,"Подільський
                    ·",14,2045,0,0,0,1,0,0
,"вул. Академика Філатова, 2/1",135000,42,1,Київ,"Печерський
                    ·",7,3214,0,1,0,0,0,0
,вул. 32-а Садовая,28900,34,1,Київ,"Святошинський
                    ·",1,850,0,0,0,0,0,1
,"вул. Золотоустівська, 25",210000,111,3,Київ,"Шевченківський
                    ·",12,1888,0,0,0,0,0,0
,"просп. Лобановського, 4Г",300000,121,4,Київ,"Солом'янський
                    ·",25,2479,0,1,0,1,0,0
,"вул. Юрія Іллєнка, 18Б",395000,146,3,Київ,"Шевченківський
                    ·",18,2705,0,0,1,0,0,0
,вул. Регенераторна,190000,84,3,Київ,"Дніпровський
                    ·",5,2262,0,0,1,1,0,0
,узвіз Кудрявський,290000,90,2,Київ,"Шевченківський
                    ·",5,3208,0,0,0,0,0,0
,вул. Саперне Поле,300000,109,3,Київ,"Печерський
                    ·",3,2752,0,0,0,0,0,0
,"вул. Васильківська, 1",433000,128,4,Київ,"Голосіївський
                    ·",21,3383,0,0,0,0,0,0
,"вул. Дубищанська, 9",60000,42,1,Київ,"Оболонський
                    ·",3,1429,0,0,0,0,0,0
,"просп. Петра Григоренка, 7А",81000,52,2,Київ,"Дарницький
                    ·",10,1558,0,0,1,0,0,0
,"вул. Панаса Мирного, 17",235000,120,3,Київ,"Печерськ
                    ·",16,1958,0,0,0,0,1,0
,"вул. Григорія Гуляницького, 39А",85000,52,1,Київ,"Голосіїв
                    ·",5,1635,0,0,0,0,0,0
,"вул. Дегтярівська, 17-19",315179,140,4,Київ,"Шевченківський
                    ·",22,2244,0,0,0,0,0,0
,"вул. Лугова (Бортничі), 56",15506,23,1,Київ,"Бортничі
                    ·",2,696,0,0,0,0,0,0
,"вул. Урлівська, 38",63000,41,1,Київ,"Позняки
                    ·",18,1537,0,0,0,0,0,0
