,title,price,squer,room,city,addres,floor,metr,new_rem,auction,quiet_area,furniture,center,parking,full_address,latitude,longitude
36,"вул. Залізнична, 24",135000,93,3,Львів,"Залізничний
                    ·",1,1452,0,0,0,0,0,0,"вул. Залізнична, 24, Львів, Україна",49.839616050000004,24.000328043745142
37,вул. Дороша,86100,66,1,Львів,"Личаківський
                    ·",3,1305,0,0,1,0,0,0,"вул. Дороша, Львів, Україна",49.8340248,24.0404961
38,вул. Глинянський Тракт,63000,42,1,Львів,"Личаківський
                    ·",5,1500,0,1,1,0,0,0,"вул. Глинянський Тракт, Львів, Україна",49.837887,24.0773412
39,"просп. Червоної Калини, 56",194000,78,2,Львів,"Сихів
                    ·",21,2487,1,1,0,0,0,0,"просп. Червоної Калини, 56, Львів, Україна",49.7950512,24.052144533615902
40,"вул. Франка Івана, 111",69950,40,2,Львів,"Галицький
                    ·",3,1749,0,0,0,0,1,0,"вул. Франка Івана, 111, Львів, Україна",49.8254658,24.033635973381294
41,"вул. Городоцька, 16",235000,167,5,Львів,"Галицький
                    ·",5,1407,0,0,0,0,1,0,"вул. Городоцька, 16, Львів, Україна",49.84352705,24.02300853463737
42,вул. Зелена,73800,44,1,Львів,"Личаківський
                    ·",3,1677,0,1,1,1,0,0,"вул. Зелена, Львів, Україна",49.7983983,24.0713106
43,"вул. Трускавецька, 2А",110000,57,1,Львів,"Франківський
                    ·",13,1930,0,1,0,0,0,0,"вул. Трускавецька, 2А, Львів, Україна",49.797820599999994,24.011414840256872
44,вул. Стрийська,188900,120,3,Львів,"Франківський
                    ·",10,1574,0,0,1,0,0,0,"вул. Стрийська, Львів, Україна",49.8128731,24.0195931
45,вул. Пулюя Івана,110000,77,2,Львів,"Франківський
                    ·",11,1429,0,0,0,0,0,0,"вул. Пулюя Івана, Львів, Україна",49.8012675,23.9831622
46,вул. Хмельницького Богдана,84420,94,3,Львів,"Шевченківський
                    ·",2,900,0,0,0,0,0,1,"вул. Хмельницького Богдана, Львів, Україна",49.8637293,24.052139
47,"вул. Коновальця Євгена, 21",285750,127,3,Львів,"Франківський
                    ·",3,2250,0,0,1,0,0,1,"вул. Коновальця Євгена, 21, Львів, Україна",49.8325902,24.00715446328706
48,"вул. Замарстинівська, 170М",116000,53,1,Львів,"Шевченківський
                    ·",2,2189,0,1,0,0,0,0,"вул. Замарстинівська, 170М, Львів, Україна",49.8691599,24.0263458
49,вул. Трускавецька,58500,58,2,Львів,"Франківський
                    ·",2,1002,0,0,1,0,0,0,"вул. Трускавецька, Львів, Україна",49.8011798,23.9829748
50,вул. Бігова,60000,38,1,Львів,"Личаківський
                    ·",5,1592,1,1,0,0,0,0,"вул. Бігова, Львів, Україна",49.8431756,24.093676
51,вул. Клепарівська,70000,31,1,Львів,"Шевченківський
                    ·",3,2258,0,0,1,0,0,0,"вул. Клепарівська, Львів, Україна",49.8460295,24.0163607
52,вул. Волинська,116780,108,3,Львів,"Шевченківський
                    ·",5,1081,0,0,1,0,0,0,"вул. Волинська, Львів, Україна",49.8560487,24.0428973
53,вул. Угорська,67000,45,1,Львів,"Сихівський
                    ·",2,1489,1,0,0,0,0,0,"вул. Угорська, Львів, Україна",49.8118624,24.0413848
54,"вул. Замарстинівська, 40",143500,70,2,Львів,"Шевченківський
                    ·",6,2050,0,0,0,0,0,0,"вул. Замарстинівська, 40, Львів, Україна",49.870993,24.0190707
55,просп. Чорновола В'ячеслава,180000,72,2,Львів,"Шевченківський
                    ·",4,2500,0,0,0,0,0,0,"просп. Чорновола В'ячеслава, Львів, Україна",49.8567047,24.0220039
56,"вул. Залізнична, 7Ж",118823,68,2,Львів,"Залізничний
                    ·",3,1731,0,0,1,0,0,0,"вул. Залізнична, 7Ж, Львів, Україна",49.844877,23.99755382659699
57,вул. Мучна,135000,96,4,Львів,"Личаківський
                    ·",2,1406,0,1,0,0,0,0,"вул. Мучна, Львів, Україна",49.8394373,24.0604652
58,вул. Левицького,60000,52,2,Львів,"Галицький
                    ·",5,1152,0,0,0,0,0,0,"вул. Левицького, Львів, Україна",49.8359843,24.0366749
59,вул. Дорошенка Петра,135000,106,4,Львів,"Галицький
                    ·",2,1278,0,0,0,0,0,0,"вул. Дорошенка Петра, Львів, Україна",49.8402507,24.0272047
60,вул. Гнатюка Академіка,95000,55,2,Львів,"Галицький
                    ·",2,1727,1,1,0,0,0,0,"вул. Гнатюка Академіка, Львів, Україна",49.8414133,24.0259118
61,просп. Свободи,87000,82,2,Львів,"Галицький
                    ·",4,1058,1,0,0,0,0,0,"просп. Свободи, Львів, Україна",49.8407687,24.028705
62,"вул. Київська, 25",62000,45,1,Львів,"Франківський
                    ·",4,1378,0,0,1,0,1,0,"вул. Київська, 25, Львів, Україна",49.8332914,24.00817473446562
63,"вул. Словʼянська, 4",62000,47,2,Львів,"Франківський
                    ·",3,1328,0,0,1,0,0,0,"вул. Словʼянська, 4, Львів, Україна",49.813503850000004,24.018531458796005
64,"вул. Буйка Професора, 27",57000,44,1,Львів,Львів,5,1307,0,0,0,0,0,0,"вул. Буйка Професора, 27, Львів, Україна",49.810748399999994,24.031877282065214
65,вул. Ковжуна Павла,125000,79,3,Львів,"Галицький
                    ·",1,1578,0,0,0,0,1,0,"вул. Ковжуна Павла, Львів, Україна",49.8378651,24.0295691
66,вул. Сорохтея,62000,55,2,Львів,"Шевченківський
                    ·",1,1127,0,0,1,0,0,0,"вул. Сорохтея, Львів, Україна",49.8446922,24.0017158
67,вул. Наукова,65000,77,4,Львів,"Наукова
                    ·",5,844,0,0,1,0,0,0,"вул. Наукова, Львів, Україна",49.8043874,23.992926
68,вул. Вулецька,55000,65,2,Львів,"Сихівський
                    ·",7,846,0,0,1,0,0,0,"вул. Вулецька, Львів, Україна",49.796969,24.0791863
69,вул. Червона,149000,82,2,Львів,"Франківський
                    ·",1,1817,0,0,0,0,0,0,"вул. Червона, Львів, Україна",49.8247002,24.0066211
70,вул. Щирецька,51350,39,1,Львів,"Залізничний
                    ·",6,1317,0,0,0,0,0,0,"вул. Щирецька, Львів, Україна",49.8100338,23.9741935
71,"вул. Бережанська, 56",72000,65,2,Львів,"Сихів
                    ·",14,1108,0,0,0,0,0,0,"вул. Бережанська, 56, Львів, Україна",49.8063673,24.0408637
72,"вул. Масарика, 7",217000,95,3,Львів,"Голоско
                    ·",4,2284,0,0,0,0,0,0,"вул. Масарика, 7, Львів, Україна",49.859208800000005,24.013885002549216
73,"вул. Кульпарківська, 93",150000,97,2,Львів,"Франківський
                    ·",13,1546,0,0,0,0,0,0,"вул. Кульпарківська, 93, Львів, Україна",49.8202273,23.98886354313676
74,"вул. Рубчака Івана, 5",165000,200,5,Львів,"Франківський
                    ·",5,825,0,0,0,1,1,0,"вул. Рубчака Івана, 5, Львів, Україна",49.80536225,24.01363152066715
75,"вул. Під Голоском, 8",93000,88,3,Львів,"Шевченківський
                    ·",2,1059,0,0,0,0,0,0,"вул. Під Голоском, 8, Львів, Україна",49.86974805,24.013239566962547
76,вул. Кульпарківська,195000,105,3,Львів,"Франківський
                    ·",15,1857,0,0,0,0,0,0,"вул. Кульпарківська, Львів, Україна",49.8195862,23.9880452
77,вул. Малоголосківська,203000,116,3,Львів,"Шевченківський
                    ·",9,1750,0,0,0,0,0,0,"вул. Малоголосківська, Львів, Україна",49.8659227,24.0045832
78,"вул. Кубанська, 8",230000,146,3,Львів,"Галицький
                    ·",7,1575,0,0,0,0,1,0,"вул. Кубанська, 8, Львів, Україна",49.824269650000005,24.038974632104562
79,"вул. Карманського, 6",376500,121,3,Львів,"Сихівський
                    ·",2,3106,0,0,0,0,0,0,"вул. Карманського, 6, Львів, Україна",49.81957815,24.028419207081956
80,вул. Освицька,65000,72,3,Львів,"Сихівський
                    ·",2,903,0,0,0,0,0,1,"вул. Освицька, Львів, Україна",49.7884741,24.0503958
81,"вул. Зерова Миколи, 6",42000,30,1,Львів,"Франківський
                    ·",1,1400,0,0,1,0,0,0,"вул. Зерова Миколи, 6, Львів, Україна",49.833480449999996,23.994551231718834
82,вул. Пасічна,160000,85,2,Львів,"Личаківський
                    ·",1,1882,0,0,1,0,0,0,"вул. Пасічна, Львів, Україна",49.8222976,24.0751762
83,вул. Тролейбусна,82500,75,2,Львів,"Франківський
                    ·",2,1100,0,0,0,0,0,0,"вул. Тролейбусна, Львів, Україна",49.8092381,24.0078828
84,вул. Під Голоском,79900,67,2,Львів,"Шевченківський
                    ·",2,1193,0,0,0,0,0,0,"вул. Під Голоском, Львів, Україна",49.8695512,24.0106175
85,вул. Харківська,120000,72,3,Львів,"Личаківський
                    ·",2,1667,0,0,0,1,0,0,"вул. Харківська, Львів, Україна",49.8410556,24.0516007
86,"вул. Пасічна, 175",120000,80,3,Львів,"Сихівський
                    ·",3,1496,0,0,1,0,0,0,"вул. Пасічна, 175, Львів, Україна",49.8040411,24.071308
87,вул. Сліпого Йосипа,116600,68,3,Львів,"Личаківський
                    ·",5,1727,0,0,0,1,1,0,"вул. Сліпого Йосипа, Львів, Україна",49.2871074,23.837881
88,вул. Рогатинців Братів,105000,33,1,Львів,"Галицький
                    ·",4,3182,0,1,0,0,1,0,"вул. Рогатинців Братів, Львів, Україна",49.8402398,24.0324072
89,"вул. Коперника, 26",125000,66,3,Львів,"Галицький
                    ·",3,1894,0,0,0,0,1,0,"вул. Коперника, 26, Львів, Україна",49.8379374,24.025513
90,"вул. Замарстинівська, 133",190470,91,2,Львів,"Шевченківський
                    ·",5,2100,0,0,0,0,0,0,"вул. Замарстинівська, 133, Львів, Україна",49.862427100000005,24.026368830844422
91,вул. Антонича,69999,48,1,Львів,"Санта Барбара
                    ·",3,1458,0,1,1,0,0,0,"вул. Антонича, Львів, Україна",49.7829321,24.0688291
92,"вул. Під Голоском, 4",83875,76,2,Львів,"Шевченківський
                    ·",9,1100,0,0,1,0,0,0,"вул. Під Голоском, 4, Львів, Україна",49.8697562,24.010774988860632
93,"вул. Кульпарківська, 93/1",150000,97,2,Львів,"Кульпарків
                    ·",13,1546,0,0,0,0,0,1,"вул. Кульпарківська, 93/1, Львів, Україна",49.8023319,23.9805883
94,вул. Городоцька,82900,43,1,Львів,"Залізничний
                    ·",12,1928,0,0,1,0,0,0,"вул. Городоцька, Львів, Україна",49.8404787,24.0127999
95,"вул. Рудненська, 8Ж",105000,60,2,Львів,"Залізничний
                    ·",8,1750,0,0,0,0,0,0,"вул. Рудненська, 8Ж, Львів, Україна",49.835820600000005,23.971964026067376
96,вул. Пимоненка Миколи,119900,66,2,Львів,"Сихівський
                    ·",4,1817,0,0,0,0,0,0,"вул. Пимоненка Миколи, Львів, Україна",49.8092336,24.0743911
97,вул. Пекарська,163000,42,1,Львів,"Галицький
                    ·",3,3881,0,1,0,1,1,0,"вул. Пекарська, Львів, Україна",49.8379325,24.0385649
98,"вул. Шевченка Тараса, 80",101000,40,1,Львів,"Шевченківський
                    ·",3,2525,0,0,0,0,1,0,"вул. Шевченка Тараса, 80, Львів, Україна",49.8475648,24.004759
99,вул. Союзу Українок(Лобачевського),62000,33,2,Львів,"Шевченківський
                    ·",3,1879,0,0,0,0,0,0,"вул. Союзу Українок(Лобачевського), Львів, Україна",49.8526833,24.0288598
100,вул. Перемиська,250000,141,5,Львів,"Франківський
                    ·",2,1773,0,0,1,0,0,1,"вул. Перемиська, Львів, Україна",49.8272852,24.0016212
101,"вул. Повстанська, 19",160000,98,3,Львів,"Франківський
                    ·",3,1629,0,0,1,0,0,0,"вул. Повстанська, 19, Львів, Україна",49.826334900000006,24.00203679150696
102,"вул. Самбірська, 5",123750,83,2,Львів,"Залізничний
                    ·",3,1500,0,0,1,0,0,0,"вул. Самбірська, 5, Львів, Україна",49.8299732,23.9595155
103,"вул. Стуса Василя, 18А",69900,70,2,Львів,"Сихівський
                    ·",4,999,0,0,1,0,0,0,"вул. Стуса Василя, 18А, Львів, Україна",49.8181237,24.042381644238407
104,"вул. Яцкова Михайла, 20Б",102500,82,2,Львів,"Шевченківський
                    ·",7,1250,0,0,1,0,0,0,"вул. Яцкова Михайла, 20Б, Львів, Україна",49.8487639,24.00663170155604
105,вул. Вірменська,62000,29,1,Львів,"Галицький
                    ·",3,2138,0,0,1,0,1,0,"вул. Вірменська, Львів, Україна",49.8429612,24.028809
106,вул. Шевченка Тараса,95000,92,3,Львів,"Шевченківський
                    ·",9,1037,0,1,0,0,0,0,"вул. Шевченка Тараса, Львів, Україна",49.8534306,23.9865888
107,"вул. Волинська, 14",67000,79,3,Львів,"Підзамче
                    ·",2,848,0,0,0,0,0,0,"вул. Волинська, 14, Львів, Україна",49.8559281,24.043134000000002
108,Кільцева дор.,69386,103,3,Львів,Львів,3,673,0,0,0,0,0,0,"Кільцева дор., Львів, Україна",49.8506436,23.8971528
109,вул. Хлібна,125000,65,2,Львів,"Сихівський
                    ·",7,1923,0,1,0,0,0,0,"вул. Хлібна, Львів, Україна",49.8128969,24.0694619
110,вул. Симиренків,145000,195,5,Львів,"Личаківський
                    ·",5,744,0,1,0,0,0,0,"вул. Симиренків, Львів, Україна",49.8230283,24.0758772
111,"вул. Стрийська, 108",76000,54,1,Львів,"Франківський
                    ·",13,1403,0,0,1,0,0,0,"вул. Стрийська, 108, Львів, Україна",49.8109483,24.0180905
112,"вул. Зелена, 151",99700,68,2,Львів,"Сихівський
                    ·",9,1460,0,0,1,0,0,0,"вул. Зелена, 151, Львів, Україна",49.80949795,24.061957733795875
113,вул. Героїв Майдану,235000,91,2,Львів,"Франківський
                    ·",5,2582,0,1,0,0,0,0,"вул. Героїв Майдану, Львів, Україна",49.8253771,24.0204608
114,вул. Грінченка,49000,63,3,Львів,"Шевченківський
                    ·",3,778,1,0,0,0,0,0,"вул. Грінченка, Львів, Україна",49.8700755,24.05673
115,"вул. Балабана Маєра, 12",290000,146,2,Львів,"Галицький
                    ·",7,1981,0,0,0,0,1,0,"вул. Балабана Маєра, 12, Львів, Україна",49.8467081,24.022547500846944
116,"вул. Зелена, 269М",145000,90,3,Львів,"Сихівський
                    ·",6,1604,0,1,0,0,0,0,"вул. Зелена, 269М, Львів, Україна",49.803442950000004,24.069954898595093
117,"вул. Золота, 11",16500,24,1,Львів,"Шевченківський
                    ·",3,688,0,0,0,0,1,0,"вул. Золота, 11, Львів, Україна",49.8475222,24.010080611295336
118,"вул. Роксоляни, 155",49000,49,1,Львів,"Залізничний
                    ·",9,996,0,0,1,0,0,0,"вул. Роксоляни, 155, Львів, Україна",49.8431941,23.9575564
119,"вул. Перфецького, 2А",65500,45,1,Львів,"Франківський
                    ·",5,1456,0,0,0,0,0,0,"вул. Перфецького, 2А, Львів, Україна",49.8136076,23.985606379826216
120,"вул. Порохова, 20Б",87000,54,1,Львів,"Франківський
                    ·",14,1617,0,0,1,0,0,0,"вул. Порохова, 20Б, Львів, Україна",49.8286566,23.987451046388607
121,вул. Нечуя-Левицького,60000,32,1,Львів,"Франківський
                    ·",3,1875,0,0,0,1,1,0,"вул. Нечуя-Левицького, Львів, Україна",49.8326349,24.0171219
122,"просп. Червоної Калини, 60",98789,48,3,Львів,"Сихівський
                    ·",17,2050,0,0,0,0,0,0,"просп. Червоної Калини, 60, Львів, Україна",49.7946252,24.054912629672344
123,вул. Менцинського,122000,72,3,Львів,"Галицький
                    ·",3,1694,0,1,0,0,1,0,"вул. Менцинського, Львів, Україна",49.8418305,24.0222852
124,вул. Ромашкова,115000,80,2,Львів,"Сихівський
                    ·",3,1438,0,0,0,0,0,1,"вул. Ромашкова, Львів, Україна",49.8050687,24.0489945
125,"вул. Шафарика, 16",70000,50,2,Львів,"Личаківський
                    ·",7,1400,0,0,1,0,0,0,"вул. Шафарика, 16, Львів, Україна",49.8168948,24.07146221639683
126,"вул. Дунайська, 7",72000,57,2,Львів,"Сихівський
                    ·",4,1263,0,0,0,0,0,0,"вул. Дунайська, 7, Львів, Україна",49.8164359,24.0508235
127,"вул. Любінська, 94",44000,44,2,Львів,"Франківський
                    ·",5,1000,0,0,0,0,0,0,"вул. Любінська, 94, Львів, Україна",49.82452325,23.976341990300625
128,вул. Новаківського Олекси,160000,89,2,Львів,"Галицький
                    ·",3,1806,0,0,1,0,1,0,"вул. Новаківського Олекси, Львів, Україна",49.8371755,24.01601
129,"вул. Бігова, 17",64660,77,3,Львів,"Личаківський
                    ·",12,841,0,0,0,0,0,0,"вул. Бігова, 17, Львів, Україна",49.8433938,24.09405397237624
130,вул. Куліша Пантелеймона,122000,72,3,Львів,"Галицький
                    ·",2,1694,0,0,0,0,1,0,"вул. Куліша Пантелеймона, Львів, Україна",49.8484155,24.0243233
131,"вул. Зелена, 204",86500,39,1,Львів,"Сихівський
                    ·",4,2218,0,0,1,0,0,0,"вул. Зелена, 204, Львів, Україна",49.81150985,24.060796590380562
132,"вул. Очеретяна, 10",90000,59,2,Львів,"Шевченківський
                    ·",2,1552,0,0,1,0,0,0,"вул. Очеретяна, 10, Львів, Україна",49.877348749999996,24.04334940492337
133,вул. Куликівська,147000,70,2,Львів,"Франківський
                    ·",2,2100,0,0,0,0,0,0,"вул. Куликівська, Львів, Україна",49.8229963,24.0107009
134,"вул. Виговського Івана, 67",55000,51,2,Львів,"Залізничний
                    ·",13,1078,1,0,0,0,0,0,"вул. Виговського Івана, 67, Львів, Україна",49.8146657,23.9780308
135,"вул. Патона, 2",56000,46,2,Львів,"Залізничний
                    ·",4,1217,0,0,0,0,0,1,"вул. Патона, 2, Львів, Україна",49.8232277,23.9630224
136,вул. Шептицьких,74000,61,2,Львів,"Галицький
                    ·",3,1213,0,0,0,0,1,0,"вул. Шептицьких, Львів, Україна",49.8371863,24.0076144
137,"вул. Зелена, 107",54000,54,2,Львів,"Личаківський
                    ·",1,1000,0,0,1,0,0,0,"вул. Зелена, 107, Львів, Україна",49.824366299999994,24.051310676405286
138,вул. Цегельського,75000,51,2,Львів,"Франківський
                    ·",1,1471,0,0,0,0,0,0,"вул. Цегельського, Львів, Україна",49.8217869,24.0008499
139,вул. Коперника,190000,140,4,Львів,"Галицький
                    ·",4,1357,0,0,0,0,1,0,"вул. Коперника, Львів, Україна",49.8327303,24.0185647
140,вул. Стрімка,27500,18,1,Львів,"Підзамче
                    ·",2,1503,0,0,0,0,1,0,"вул. Стрімка, Львів, Україна",49.853115,24.0359304
141,"вул. Замарстинівська, 55Б",165000,68,3,Львів,"Замарстинів
                    ·",2,2426,0,0,0,0,0,0,"вул. Замарстинівська, 55Б, Львів, Україна",49.8563079,24.02759814122827
142,вул. Щепова,118500,61,2,Львів,"Шевченківський
                    ·",2,1943,0,0,1,1,0,0,"вул. Щепова, Львів, Україна",49.8671059,24.0135192
143,вул. Зубрівська,120000,98,3,Львів,"Сихівський
                    ·",3,1224,0,0,1,0,0,0,"вул. Зубрівська, Львів, Україна",49.7977635,24.0625243
144,"вул. Стрийська, 87В",65000,52,2,Львів,"Сихівський
                    ·",2,1250,0,0,0,1,0,0,"вул. Стрийська, 87В, Львів, Україна",49.790476850000005,24.020130848745865
145,"вул. Малоголосківська, 32А",125000,64,2,Львів,"Шевченківський
                    ·",10,1969,0,0,0,0,0,1,"вул. Малоголосківська, 32А, Львів, Україна",49.8674827,24.00364488182894
146,"вул. Пасічна, 90А",117500,94,3,Львів,"Личаківський
                    ·",4,1250,0,0,1,0,0,0,"вул. Пасічна, 90А, Львів, Україна",49.81982185,24.075577823475076
147,вул. Ожешко,470000,293,9,Львів,"Франківський
                    ·",1,1604,0,1,1,0,0,0,"вул. Ожешко, Львів, Україна",49.8272732,23.9964678
148,"вул. Хмельницького Богдана, 220",90000,134,3,Львів,"Шевченківський
                    ·",5,672,0,0,0,0,0,1,"вул. Хмельницького Богдана, 220, Львів, Україна",49.87000225,24.0584249
149,вул. Таманська,98000,111,3,Львів,"Галицький
                    ·",3,883,0,0,1,0,1,0,"вул. Таманська, Львів, Україна",49.8457087,24.0221575
150,"вул. Личаківська, 164",26000,34,2,Львів,"Личаківський
                    ·",2,765,0,0,0,0,0,0,"вул. Личаківська, 164, Львів, Україна",49.835546199999996,24.0763013
152,"вул. Володимира Великого, 10",52529,43,1,Львів,"Франківський
                    ·",4,1217,0,0,0,0,0,0,"вул. Володимира Великого, 10, Львів, Україна",49.809296849999996,24.011553122512453
153,вул. Караджича,156000,106,3,Львів,"Залізничний
                    ·",9,1477,0,0,0,0,0,0,"вул. Караджича, Львів, Україна",49.8241959,23.9713384
154,"вул. Довга, 30А",59000,43,1,Львів,"Сихівський
                    ·",6,1372,0,0,1,0,0,0,"вул. Довга, 30А, Львів, Україна",49.813553299999995,24.072154151342996
155,"вул. Янева, 3",168000,96,4,Львів,"Франківський
                    ·",3,1757,0,0,1,0,0,0,"вул. Янева, 3, Львів, Україна",49.811754050000005,24.0118659543585
157,"вул. Шафарика, 2",49000,48,2,Львів,"Личаківський
                    ·",3,1021,0,0,1,0,0,0,"вул. Шафарика, 2, Львів, Україна",49.81739585,24.069255059015582
158,"вул. Залізнична, 9А",109000,87,3,Львів,"Залізничний
                    ·",6,1253,0,0,0,0,0,0,"вул. Залізнична, 9А, Львів, Україна",49.8401328,23.9994768
159,"вул. Тернопільська, 1",54000,56,3,Львів,"Новий Львів
                    ·",1,964,0,0,1,1,0,0,"вул. Тернопільська, 1, Львів, Україна",49.8157394,24.04298912138901
160,вул. Біберовича Івана,29500,29,1,Львів,"Шевченківський
                    ·",8,1017,0,0,0,0,0,1,"вул. Біберовича Івана, Львів, Україна",49.8678566,23.9656608
161,пл. Ринок,260000,97,2,Львів,"Галицький
                    ·",2,2689,0,0,0,0,1,0,"пл. Ринок, Львів, Україна",49.84193165000001,24.03237302794772
162,"пл. Князя Святослава, 5",82000,43,1,Львів,Львів,6,1907,0,0,1,0,0,0,"пл. Князя Святослава, 5, Львів, Україна",49.8429116,24.008825
163,пров. Заозерний,98425,71,2,Львів,"Шевченківський
                    ·",7,1388,0,0,0,0,0,0,"пров. Заозерний, Львів, Україна",49.8709154,24.0142732
164,вул. Франка Івана,80000,48,1,Львів,"Галицький
                    ·",2,1667,0,0,0,1,1,0,"вул. Франка Івана, Львів, Україна",49.8332909,24.0339986
